600395: Battle_of_Bealach_nam_Broig
600396: Battle_of_Bean's_Station
600397: Battle_of_Bear_Paw
600398: Battle_of_Bear_Paw_Mountain
600399: Battle_of_Bear_Paw_Mountains
600400: Battle_of_Bear_River
600401: Battle_of_Bearpaw_Mountain
600402: Battle_of_Beatties_Prairie
600403: Battle_of_Beaty's_Prairie
600404: Battle_of_Beaufort
600405: Battle_of_Beauge
600406: Battle_of_Beaugency
600407: Battle_of_Beaugé
600408: Battle_of_Beauharnois
600409: Battle_of_Beaumont
600410: Battle_of_Beaumont-Hamel
600411: Battle_of_Beaumont_Hamel
600412: Battle_of_Beaune-La-Rolande
600413: Battle_of_Beaune-la-Rolande
600414: Battle_of_Beauport
600415: Battle_of_Beausejour
600416: Battle_of_Beaver_Creek
600417: Battle_of_Beaver_Dam
600418: Battle_of_Beaver_Dam_Creek
600419: Battle_of_Beaver_Dams
600420: Battle_of_Beda_Fomm
600421: Battle_of_Bedegraine
600422: Battle_of_Bedriacum
600423: Battle_of_Beecher's_Island
600424: Battle_of_Beecher_Island
600425: Battle_of_Beersheba
600426: Battle_of_Beersheeba
600427: Battle_of_Beijing
600428: Battle_of_Beijing-Tianjin
600429: Battle_of_Beijing-Tientsin
600430: Battle_of_Beiping-Tianjin
600431: Battle_of_Beiping-Tientsin
600432: Battle_of_Beiping–Tianjin
600433: Battle_of_Beirut
600434: Battle_of_Beirut_(1941)
600435: Battle_of_Bekeriyah_(1904)
600436: Battle_of_Bekeriyah_(1905)
600437: Battle_of_Belasitsa
600438: Battle_of_Belchite
600439: Battle_of_Belchite_(1809)
600440: Battle_of_Belchite_(1937)
600441: Battle_of_Beledweyne
600442: Battle_of_Beledweyne_(2006)
600443: Battle_of_Beledweyne_(2008)
600444: Battle_of_Beledweyne_(July_2008)
600445: Battle_of_Beler
600446: Battle_of_Belgorod
600447: Battle_of_Belgrade
600448: Battle_of_Belgrade_(1456)
600449: Battle_of_Belhamed
600450: Battle_of_Belhamed_Road
600451: Battle_of_Belleau_Wood
600452: Battle_of_Bellevue
600453: Battle_of_Bellewaarde
600454: Battle_of_Belmont
600455: Battle_of_Belmont_(1899)
600456: Battle_of_Belorussia
600457: Battle_of_Belvoir_Castle_(1182)
600458: Battle_of_Bemis_Heights
600459: Battle_of_Benburb
600460: Battle_of_Benevento
600461: Battle_of_Benevento_(1266)
600462: Battle_of_Beneventum
600463: Battle_of_Beneventum_(212_BC)
600464: Battle_of_Beneventum_(214_BC)
600465: Battle_of_Beneventum_(275_BC)
600466: Battle_of_Bennington
600467: Battle_of_Bentonville
600468: Battle_of_Bentonville_(United_States_Civil_War)
600469: Battle_of_Beresina
600470: Battle_of_Berestechko
600471: Battle_of_Beresteczko
600472: Battle_of_Bereza_Kartuska
600473: Battle_of_Bereza_Kartuska_(1919)
600474: Battle_of_Berezina
600475: Battle_of_Berezina_(disambiguation)
600476: Battle_of_Bergen
600477: Battle_of_Bergen_(1759)
600478: Battle_of_Bergen_(1799)
600479: Battle_of_Bergen_(Seven_Years'_War)
600480: Battle_of_Bergendal
600481: Battle_of_Berlin
600482: Battle_of_Berlin_(air)
600483: Battle_of_Berne
600484: Battle_of_Bernetz_Brook
600485: Battle_of_Beroia
600486: Battle_of_Berryville
600487: Battle_of_Beruna
600488: Battle_of_Beruna_Ford
600489: Battle_of_Berzitia
600490: Battle_of_Bespin
600491: Battle_of_Bespin_(Galactic_Civil_War)
600492: Battle_of_Beth-Zur
600493: Battle_of_Beth-zechariah
600494: Battle_of_Beth-zur
600495: Battle_of_Beth_Horon
600496: Battle_of_Beth_Horon_(66)
600497: Battle_of_Beth_Zachariah
600498: Battle_of_Beth_Zechariah
600499: Battle_of_Beth_Zur
600500: Battle_of_Bethel_Church
600501: Battle_of_Bethesda_Church
600502: Battle_of_Beverhoutsveld
600503: Battle_of_Bevezier
600504: Battle_of_Beveziers
600505: Battle_of_Bezzecca
600506: Battle_of_Bhangani
600507: Battle_of_Bharatpur
600508: Battle_of_Bi
600509: Battle_of_Biak
600510: Battle_of_Biala_Cerkwia
600511: Battle_of_Bialoleka
600512: Battle_of_Bialystok-Minsk
600513: Battle_of_Białołęka
600514: Battle_of_Białystok-Minsk
600515: Battle_of_Białystok–Minsk
600516: Battle_of_Bibracte
600517: Battle_of_Biccoca
600518: Battle_of_Bicocca
600519: Battle_of_Big_Bethel
600520: Battle_of_Big_Black_River
600521: Battle_of_Big_Black_River_Bridge
600522: Battle_of_Big_Hole
600523: Battle_of_Big_Mound
600524: Battle_of_Big_Sandy_Creek
600525: Battle_of_Bila_Tserkva
600526: Battle_of_Bilaer
600527: Battle_of_Bilar
600528: Battle_of_Bilbao
600529: Battle_of_Bilbringi
600530: Battle_of_Bilbringi_(Galactic_Civil_War)
600531: Battle_of_Bileca
600532: Battle_of_Bileća
600533: Battle_of_Bilär
600534: Battle_of_Binh_Ba
600535: Battle_of_Binh_Gia
600536: Battle_of_Bint_Jbail
600537: Battle_of_Bint_Jbeil
600538: Battle_of_Bir-el_Harmat
600539: Battle_of_Bir_Ghirba
600540: Battle_of_Bir_Hacheim
600541: Battle_of_Bir_Hakeim
600542: Battle_of_Bir_el_Chleta
600543: Battle_of_Bir_el_Gubi
600544: Battle_of_Bir_el_Haiad
600545: Battle_of_Birch_Coulee
600546: Battle_of_Bird_Creek
600547: Battle_of_Bismarck_Sea
600548: Battle_of_Bita_Paka
600549: Battle_of_Bitlis
600550: Battle_of_Bitola
600551: Battle_of_Bitola_(1015)
600552: Battle_of_Bitonto
600553: Battle_of_Bitter_Lakes
600554: Battle_of_Bizani
600555: Battle_of_Blaauwberg
600556: Battle_of_Black_Jack
600557: Battle_of_Black_Mesa
600558: Battle_of_Black_Mingo
600559: Battle_of_Blackburn's_Ford
600560: Battle_of_Blackett_Strait
600561: Battle_of_Blackheath
600562: Battle_of_Blackstock's_Plantation
600563: Battle_of_Blackwater
600564: Battle_of_Bladensberg
600565: Battle_of_Bladensburg
600566: Battle_of_Blair's_Landing
600567: Battle_of_Blair_Mountain
600568: Battle_of_Blanc_Mont_Ridge
600569: Battle_of_Blanchetaque
600570: Battle_of_Blanco_Canyon
600571: Battle_of_Blanford
600572: Battle_of_Blar-na-Pairc
600573: Battle_of_Blare_Tannie
600574: Battle_of_Blenau
600575: Battle_of_Bleneau
600576: Battle_of_Blenheim
600577: Battle_of_Blood_River
600578: Battle_of_Blood_River_Poort
600579: Battle_of_Bloody_Bay
600580: Battle_of_Bloody_Gulch
600581: Battle_of_Bloody_Lake
600582: Battle_of_Bloody_Lane
600583: Battle_of_Bloody_Marsh
600584: Battle_of_Bloody_Ridge
600585: Battle_of_Bloody_Run
600586: Battle_of_Blore_Heath
600587: Battle_of_Blountsville
600588: Battle_of_Blue_Licks
600589: Battle_of_Blue_Springs
600590: Battle_of_Blue_Water
600591: Battle_of_Blue_Waters
600592: Battle_of_Bluewater_Creek
600593: Battle_of_Bléneau
600594: Battle_of_Bo_Wan_Po
600595: Battle_of_Bogdat
600596: Battle_of_Bogesund
600597: Battle_of_Bogra
600598: Battle_of_Bogside
600599: Battle_of_Boju
600600: Battle_of_Boksum
600601: Battle_of_Boldon_Hill
600602: Battle_of_Bolimov
600603: Battle_of_Bomarsund
600604: Battle_of_Bonar_Bridge
600605: Battle_of_Bonari_Pass
600606: Battle_of_Bonchurch
600607: Battle_of_Bonnymuir
600608: Battle_of_Boomplaats
600609: Battle_of_Boonesboro
600610: Battle_of_Boonesborough
600611: Battle_of_Booneville
600612: Battle_of_Booneville,_Mississippi
600613: Battle_of_Boonsboro
600614: Battle_of_Boonsborough
600615: Battle_of_Boonville
600616: Battle_of_Bordeaux
600617: Battle_of_Bordeaux_(football)
600618: Battle_of_Borleias
600619: Battle_of_Borneo
600620: Battle_of_Borneo_(1941-42)
600621: Battle_of_Borneo_(1941–42)
600622: Battle_of_Bornhoeved
600623: Battle_of_Bornhoeved_(1227)
600624: Battle_of_Bornholm
600625: Battle_of_Bornholm_(1676)
600626: Battle_of_Bornhoved
600627: Battle_of_Bornhoved_(1227)
600628: Battle_of_Bornhöved
600629: Battle_of_Bornhöved_(1227)
600630: Battle_of_Borny-Colombey
600631: Battle_of_Borodino
600632: Battle_of_Borota
600633: Battle_of_Boroughbridge
600634: Battle_of_Boroughmuir
600635: Battle_of_Borowa_Gora
600636: Battle_of_Borowa_Góra
600637: Battle_of_Borsele
600638: Battle_of_Boruy
600639: Battle_of_Bory_Tucholskie
600640: Battle_of_Boryspil
600641: Battle_of_Boryspol
600642: Battle_of_Borysthenes
600643: Battle_of_Bosco_Marengo
600644: Battle_of_Bosra
600645: Battle_of_Bosra_(1147)
600646: Battle_of_Bossenden_Wood
600647: Battle_of_Boston
600648: Battle_of_Boston_Harbor
600649: Battle_of_Bosworth
600650: Battle_of_Bosworth_Field
600651: Battle_of_Bosworth_field
600652: Battle_of_Bothaville
600653: Battle_of_Bothwell_Bridge
600654: Battle_of_Bothwell_Brig
600655: Battle_of_Bougainville
600656: Battle_of_Bougainville_(1944-45)
600657: Battle_of_Boulgarophygon
600658: Battle_of_Boulou
600659: Battle_of_Boulou_(1794)
600660: Battle_of_Bound_Brook
600661: Battle_of_Bouvines
600662: Battle_of_Bov
600663: Battle_of_Bovianum
600664: Battle_of_Bovianum_(305_BC)
600665: Battle_of_Bovillae
600666: Battle_of_Bovines
600667: Battle_of_Bowang
600668: Battle_of_Bowang_Slope
600669: Battle_of_Boxtel
600670: Battle_of_Boyaca
600671: Battle_of_Boyacá
600672: Battle_of_Boydton_Plank_Road
600673: Battle_of_Boykin's_Mill
600674: Battle_of_Boyne
600675: Battle_of_Boyra
600676: Battle_of_Boys_with_Toys
600677: Battle_of_Braddock_Down
600678: Battle_of_Bradock_Down
600679: Battle_of_Bramall_Lane
600680: Battle_of_Bramham_Moor
600681: Battle_of_Brandiwyne
600682: Battle_of_Brandiwyne_(1777)
600683: Battle_of_Brandy_Station
600684: Battle_of_Brandywine
600685: Battle_of_Brandywine_(1777)
600686: Battle_of_Brandywine_Creek
